age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,depression_label
14,male,3.6,Instagram,7.1,1.6,4,1.7,low,3,1,4,0
19,female,5.3,TikTok,7.2,1.9,4,1.4,medium,4,3,5,0
17,female,5.3,Instagram,6.6,2.2,4,2.8,medium,2,1,6,0
15,male,5.3,TikTok,6.6,2.4,4,2.1,medium,3,2,5,1
15,female,3.2,Both,8.6,1.5,4,2.2,high,2,1,2,0
19,female,5.2,Both,7.8,2.1,3.5,1.4,high,2,3,5,0
18,female,6.9,Instagram,5.9,2.2,4,1.4,low,4,4,7,0
16,male,4.9,Both,7.8,1.6,3.79,2.7,medium,4,1,6,0
19,female,4.9,TikTok,8,1.3,3.5,1.1,low,5,5,3,1
15,male,4.2,TikTok,6.1,2.6,4,1.9,medium,3,2,6,1
16,male,3.4,Both,8.4,0.9,4,2.1,medium,3,2,6,0
13,male,1.9,Instagram,9.2,0.7,4,2.2,medium,1,1,2,0
16,male,4.3,Both,6.8,1.4,3.67,2,medium,4,3,3,0
17,female,2.2,TikTok,7.2,1.6,4,2,low,2,2,3,0
15,male,1.4,TikTok,8.9,0.8,4,2.5,medium,2,1,2,0
14,female,2.3,Both,7.7,1.8,4,2.2,medium,2,1,4,0
13,male,1.3,Both,8.8,0.6,4,1.7,medium,3,4,2,0
16,male,4.4,Both,7.3,2,4,2,low,2,2,6,0
16,female,2.9,Both,8.2,1,4,2.4,high,3,1,2,0
14,female,1.3,Instagram,6.8,2,4,2.3,medium,2,2,1,0
16,male,5.8,TikTok,7.8,1.6,4,1.4,medium,3,3,7,0
18,male,4.7,Both,7.7,2.1,4,2.3,medium,3,3,3,0
18,male,5.1,Instagram,6.7,2.3,3.61,1.1,medium,3,5,5,0
18,female,3.3,TikTok,7.5,1.7,4,1.8,medium,3,2,7,0
18,female,4.3,Both,6.4,1.7,4,2.8,low,3,2,4,0
13,female,2.6,Both,8.2,1.2,4,1.4,medium,2,1,2,0
14,female,1.6,Both,8.5,1,4,1.4,medium,2,2,2,0
19,male,6,TikTok,6.7,2.2,3.64,2.5,high,5,2,6,0
14,male,2.3,TikTok,8.3,1.7,3.91,1.4,medium,3,1,4,0
16,female,3.6,TikTok,6.6,2.7,4,1.5,high,2,1,5,0
13,male,1.8,TikTok,8.6,0.8,4,2.4,high,2,1,2,0
13,female,4.7,Instagram,7,1.2,4,1.5,medium,2,2,7,0
16,male,4,Instagram,7.4,1.7,3.87,2,medium,4,3,5,0
14,male,1.7,TikTok,7.3,2.3,4,2.5,medium,3,1,4,0
13,female,3.5,TikTok,8,1.1,4,2.1,medium,1,1,3,1
17,female,3,Both,7,2.2,4,2,low,3,2,5,0
19,female,5.8,Instagram,6.2,3.1,3.77,1.6,medium,4,4,6,0
17,female,2.1,Instagram,8.6,0.9,4,2,high,1,1,3,0
17,female,2.9,TikTok,7.3,1.7,4,1.8,medium,4,3,3,0
17,female,4.7,Instagram,5.7,2.7,4,2,medium,3,4,4,0
14,male,3.9,Instagram,8.6,1.5,4,1.9,low,1,2,5,0
19,male,5.7,Instagram,7.7,2.1,4,2,medium,4,4,5,0
14,female,2.9,Instagram,7.1,1.1,3.77,1.3,medium,4,5,3,0
15,male,3.1,Both,8.4,0.9,4,2.1,medium,2,1,3,0
14,male,1.2,Both,8.2,0.5,4,1.7,medium,3,2,3,0
14,female,2.1,TikTok,8.5,0.5,4,1.3,medium,3,1,2,0
18,male,4.4,TikTok,7.4,1.8,4,2.2,medium,1,1,4,0
13,female,3.8,Instagram,7.5,1.3,4,2,medium,2,3,4,0
16,male,4.4,TikTok,6.7,1.9,4,2.5,medium,2,1,3,0
14,male,1,Instagram,8.4,0,4,1.9,medium,2,1,1,0
13,male,2.9,Both,7.1,1.5,4,2.4,high,1,2,4,0
18,male,4.5,TikTok,6.4,2.3,3.52,2.4,medium,7,6,4,0
18,male,4.2,Instagram,7.8,0.8,4,2.3,medium,3,2,5,0
13,female,3.2,TikTok,7.1,1.6,3.93,1.4,high,3,3,5,0
18,male,6.2,Instagram,6.7,3,3.37,2.2,medium,5,4,7,0
15,female,4.6,Instagram,8.4,1.3,4,2,medium,5,5,6,0
18,male,4,TikTok,6.6,2.5,4,2.1,medium,4,3,4,0
16,male,3.6,TikTok,7.5,1.8,3.91,1.1,low,4,4,5,0
13,male,2.9,Both,8.3,1,4,2.2,medium,2,4,3,0
17,female,5.7,Instagram,7.1,2.2,4,2.9,medium,3,3,8,0
18,male,4.4,TikTok,7.1,2.1,3.97,1.9,medium,3,2,7,0
15,female,3.3,Instagram,8.1,1.5,3.78,1.5,medium,2,2,4,0
13,male,1.2,Both,8.4,1.1,4,2.3,medium,1,1,3,0
17,male,3.1,Both,7.2,1,4,2.3,medium,1,3,5,0
19,female,6.5,TikTok,7,2.5,4,2.4,medium,4,3,6,0
17,male,6.1,Instagram,7.7,1.6,4,1.5,high,2,2,5,0
13,male,2.4,TikTok,7.5,1.2,4,2.5,medium,2,1,4,0
17,male,5.7,Both,7.1,1.8,4,2.4,medium,3,4,6,0
14,female,3.4,Both,8.2,1.2,4,1.8,medium,2,2,4,0
15,male,2.7,Both,7.3,1.9,4,2.3,medium,2,1,3,1
14,male,3.4,Both,7.9,2.1,3.88,2.7,medium,6,4,3,0
16,female,5.8,TikTok,8,2.5,4,2.3,medium,5,2,6,0
16,female,4,Instagram,7.2,1.2,4,1.3,low,2,2,5,0
14,male,4.9,Instagram,6.4,1.8,3.93,2.6,low,3,3,5,1
14,male,1,Both,8.2,1.4,4,2.1,medium,1,2,4,0
17,female,5.5,Instagram,7.3,2.2,4,1.9,high,2,1,5,0
13,male,2.6,TikTok,7,2.4,4,2.2,medium,1,1,3,0
13,male,2.1,TikTok,8.8,1.3,4,2.1,high,2,1,3,1
15,male,3.6,Both,6.6,1.7,4,2.7,medium,2,1,4,0
18,male,2.6,Both,8.4,1.1,3.96,2.1,medium,3,3,4,0
18,female,4.7,Instagram,6.7,2,3.48,1.2,low,5,5,4,1
19,female,5.9,TikTok,7.8,2.2,3.75,1.6,low,5,4,7,1
14,male,4.8,Both,8.1,2.3,4,2.2,medium,2,3,7,0
13,male,1.9,Instagram,7.4,1.5,4,2.8,medium,2,1,3,0
16,female,3,Both,7.6,1,4,2.1,medium,3,2,5,0
17,female,3.9,Both,8.3,1,4,1.4,high,2,1,3,0
18,male,6.1,Instagram,7,1.4,4,3.4,low,2,1,7,1
17,female,4.9,Both,6.9,2.2,3.62,1.9,low,5,2,6,0
